Name,Role,Student_Level,Email,Phone_Number,Organization,Location,College,Career_Interests,Field_1,Field_2,Field_3,Field_4,Field_5,Bio,Additional_Notes
Ruth,Mentee,Graduate,brogers@mitchell.org,None,Residence Hall Council|Nan,None,College Of Engineering,Entrepreneurship And Startup Advice,Law and legal services,Data and analytics,Design,None,None,Question similar television play cover him general American example mouth force.,nan
Jessica,Mentee,Undergraduate,chambersian@yahoo.com,001-001-364-7655x3292,Panhellenic/Multicultural Greek Fraternal Council|Nan,West Coast U.S.,None,Career Guidance,Psychology and social work,None,None,None,None,Offer near strong material wrong side natural door wind behind Mr child art network.,nan
Brian,Mentee,Undergraduate,andrelang@ellis-rangel.com,(275)314-3602x8804,Women's Leadership Initiative (WLI)|Nan,East Coast U.S.,Charles H. Dyson School Of Applied Economics And Management,Networking,Hospitality,Corporate and general management,Retail and consumer goods,Academia and research,None,Catch worry task against black class lay reveal TV during personal whatever expert bill customer today claim friend scene contain suggest product.,nan
Stephanie,Mentee,Graduate,tracy15@gmail.com,None,Residence Hall Council|Nan,None,College Of Agriculture And Life Sciences,None,Marketing,Human resources,Real estate,None,None,Big cost ask office so attention war half they perform marriage heart either allow staff Mr health both animal.,nan
Mary,Mentee,Graduate,youngfrank@bond.info,None,Residence Hall Council|Nan,None,None,Entrepreneurship And Startup Advice,"Finance, investment and financial services",Medicine and healthcare,Psychology and social work,None,None,Begin could we care able less speak media popular indicate when teacher ahead.,nan
Gregory (2),Mentee,Graduate,rothrodney@lewis-guerrero.net,None,Nan|Nan,Ithaca|NYC Area,Charles H. Dyson School Of Applied Economics And Management,Transitioning From Academia To Industry Or Navigating Career Changes,"Journalism, publishing and communications",None,None,None,None,What store agreement pass attack doctor newspaper condition morning likely series I.,nan
Debbie,Mentee,Graduate,michele95@hotmail.com,None,Residence Hall Council|Nan,None,None,Transitioning From Academia To Industry Or Navigating Career Changes,Education,Veterinary medicine,"Finance, investment and financial services","Journalism, publishing and communications",IT and technology,Policy position ability life by rise investment book well already stock note decade experience three matter whom leave build young suffer sister.,nan
Christine,Mentee,Undergraduate,martinmorgan@gmail.com,None,Panhellenic/Multicultural Greek Fraternal Council|Nan,Ithaca|NYC Area,None,Transitioning From Academia To Industry Or Navigating Career Changes,Consulting and strategy,None,None,None,None,Sometimes commercial relationship involve court business relate well TV goal employee improve case stage scientist always yourself century address though effort hair hospital recognize.,nan
Erica,Mentee,Undergraduate,duane12@gmail.com,None,Professional/Academic Organization|Nan,None,None,Work-Life Balance,Real estate,Medicine and healthcare,"Biotech, pharmaceutical, life sciences, and medical devices",Corporate and general management,None,Room note sport wall per indicate position some edge create evening your staff child impact visit talk stock mean federal sign.,nan
Kelly,Mentee,Graduate,brentcarrillo@hotmail.com,(025)825-4243x5427,Residence Hall Council|Nan,None,None,None,Engineering,Health and wellness,Public service and government,Creative fields,None,Both appear style wear notice respond available those only memory add.,nan
Ryan,Mentee,Graduate,tuckeralexa@flynn.com,581-804-4411,Women's Leadership Initiative (WLI)|Nan,None,None,None,Public service and government,None,None,None,None,Dream firm paper nothing those share deep performance tree school speak couple security energy pretty then international newspaper.,nan
Robert,Mentee,Undergraduate,rileylauren@hotmail.com,None,Women's Leadership Initiative (WLI)|Nan,None,Charles H. Dyson School Of Applied Economics And Management,Work-Life Balance,Academia and research,Law and legal services,None,None,None,Shoulder may ask second claim everyone authority medical same full win and defense about include music listen accept heavy walk rock product tough.,nan
Gregory (3),Mentee,Undergraduate,richardmartin@hotmail.com,(501)857-5440x0065,Panhellenic/Multicultural Greek Fraternal Council|Nan,None,None,Entrepreneurship And Startup Advice,Public service and government,Policy and advocacy,None,None,None,Mention hand site happy may team particularly point break hit wonder grow sing listen quickly design another teacher spring show pretty line.,nan
Rhonda,Mentee,Graduate,quinnanna@gmail.com,None,Nan|Nan,None,College Of Agriculture And Life Sciences,Entrepreneurship And Startup Advice,Creative fields,Entrepreneurship and startups,None,None,None,Behavior response throughout prove tough because truth part force heavy his mission.,nan
David,Mentee,Undergraduate,dcisneros@smith.com,5349872092,Professional/Academic Organization|Nan,Remote/Open,College Of Agriculture And Life Sciences,Career Guidance,IT and technology,Education,Retail and consumer goods,Media and entertainment,None,Value leg away too act should type artist boy physical head set summer level want region.,nan
Justin,Mentee,Graduate,shall@hotmail.com,None,Professional/Academic Organization|Nan,East Coast U.S.,None,Networking,Non-profit and social enterprise,None,None,None,None,Agency sign personal same play policy add level product return result also discussion adult growth scene sound including.,nan
Rodney,Mentee,Graduate,rebeccaherring@webb.com,266.341.2112x471,Panhellenic/Multicultural Greek Fraternal Council|Nan,NYC Area,None,Entrepreneurship And Startup Advice,Creative fields,None,None,None,None,Think believe visit claim week business first wonder sign among stuff morning rate standard dark.,nan
Wyatt,Mentee,Graduate,riveracynthia@kane.com,0821993188,Nan|Nan,None,None,Career Guidance,Consulting and strategy,None,None,None,None,Worry yeah stage test wall opportunity here dark career others usually feel without instead enough open material.,nan
Teresa,Mentee,Graduate,hunter38@barry.org,None,Professional/Academic Organization|Nan,West Coast U.S.,None,Entrepreneurship And Startup Advice,Real estate,Non-profit and social enterprise,None,None,None,Cut along thousand right number more major wide nearly free perhaps arrive big late.,nan
Andrew,Mentee,Undergraduate,cfrey@yahoo.com,None,Women's Leadership Initiative (WLI)|Nan,Remote/Open,None,Entrepreneurship And Startup Advice,Creative fields,Psychology and social work,Engineering,Architecture and urban planning,Policy and advocacy,Direction raise game amount college activity full music customer thing beyond time let hold war represent wait easy summer color article.,nan
Andrew (2),Mentee,Graduate,riveracharlene@christensen.com,881-200-5752x05320,Women's Leadership Initiative (WLI)|Nan,None,Charles H. Dyson School Of Applied Economics And Management,Career Guidance,Marketing,Health and wellness,Education,Creative fields,None,Site officer option loss hotel business provide list expect wind cover idea when.,nan
Jennifer,Mentee,Graduate,williamsalison@thompson.com,None,Women's Leadership Initiative (WLI)|Nan,None,None,None,Engineering,Business,"Biotech, pharmaceutical, life sciences, and medical devices","Journalism, publishing and communications",None,Coach executive truth appear health major effort old nor foreign sport official.,nan
Eric,Mentee,Graduate,jasminehicks@griffin.info,028-063-9609x0268,Women's Leadership Initiative (WLI)|Nan,None,None,None,Health and wellness,Human resources,None,None,None,Series decide south economy pull style choice ok Democrat entire business well laugh he along street book.,nan
Christopher,Mentee,Graduate,yray@barnett.org,442.153.3858x285,Women's Leadership Initiative (WLI)|Nan,None,College Of Engineering,Transitioning From Academia To Industry Or Navigating Career Changes,Policy and advocacy,"Biotech, pharmaceutical, life sciences, and medical devices","Energy, sustainability and the environment",Creative fields,None,Call draw fly wind campaign series myself find article indeed college last maybe ball tonight stuff authority forward example up shake nearly too.,nan
Amanda,Mentee,Graduate,fjohnson@johnson.com,520-250-1112x36085,Women's Leadership Initiative (WLI)|Nan,None,None,Transitioning From Academia To Industry Or Navigating Career Changes,Real estate,Data and analytics,Architecture and urban planning,None,None,Information whether pressure professor yeah help girl day great official piece anything exactly next once consider follow laugh.,nan
David (2),Mentee,Undergraduate,shelly34@hotmail.com,(993)764-9098x9866,Nan|Nan,West Coast U.S.,Charles H. Dyson School Of Applied Economics And Management,Entrepreneurship And Startup Advice,Law and legal services,"Energy, sustainability and the environment",Consulting and strategy,None,None,Change media road partner rather evidence make partner now produce before during challenge situation condition behavior debate must.,nan
Kenneth,Mentee,Undergraduate,brandon84@combs-nichols.org,None,Women's Leadership Initiative (WLI)|Nan,Remote/Open,None,Entrepreneurship And Startup Advice,Design,Education,Retail and consumer goods,Creative fields,Hospitality,Institution brother white blood certain current well move authority soldier up rather past send pull field.,nan
Melanie,Mentee,Graduate,samantha76@roberts.com,+1-539-321-8902x5616,Women's Leadership Initiative (WLI)|Nan,NYC Area,None,Networking,Law and legal services,None,None,None,None,Clear perform career win house network possible question myself mouth no above number order why cut to phone already though whom heart adult this.,nan
Christina,Mentee,Undergraduate,popeamy@wilson-smith.com,281-359-6434x9740,Residence Hall Council|Nan,Remote/Open,None,Networking,Non-profit and social enterprise,None,None,None,None,Including wind power suddenly strategy area approach hospital tell consumer direction official them two.,nan
Christopher (2),Mentee,Graduate,rachael75@yahoo.com,None,Panhellenic/Multicultural Greek Fraternal Council|Nan,None,School Of Industrial And Labor Relations,Entrepreneurship And Startup Advice,Real estate,"Journalism, publishing and communications",Corporate and general management,Academia and research,Creative fields,Put wife way difficult friend crime author prepare successful dark federal lay treatment old Republican however notice television.,nan
David (3),Mentee,Undergraduate,vjohnson@bowman.com,None,Women's Leadership Initiative (WLI)|Nan,East Coast U.S.,None,Career Guidance,Health and wellness,Engineering,None,None,None,Citizen change me offer trouble down someone play raise spring upon series effect partner available open morning their only make very.,nan
Andre,Mentee,Undergraduate,johnsonmary@preston.biz,(610)432-7144x869,Panhellenic/Multicultural Greek Fraternal Council|Nan,East Coast U.S.,None,None,Public service and government,"Journalism, publishing and communications",Marketing,None,None,Phone social development first determine professor pressure follow anyone contain environment matter same central I officer form direction cup gun ahead matter.,nan
John,Mentee,Graduate,frank49@hotmail.com,(277)532-2668x462,Panhellenic/Multicultural Greek Fraternal Council|Nan,None,Charles H. Dyson School Of Applied Economics And Management,Transitioning From Academia To Industry Or Navigating Career Changes,Consulting and strategy,Design,"Journalism, publishing and communications",None,None,Ready agreement actually people green ask quickly back protect anything smile prove although former religious participant actually who bring court kind simply dog rule.,nan
Karen,Mentee,Graduate,tyler72@collins-gill.com,None,Nan|Nan,None,None,Transitioning From Academia To Industry Or Navigating Career Changes,"Energy, sustainability and the environment",Education,Retail and consumer goods,IT and technology,None,Act evening wish positive group easy entire become maintain pressure police argue.,nan
Victoria,Mentee,Graduate,lancewagner@gmail.com,(220)171-3494,Professional/Academic Organization|Nan,Remote/Open,None,Career Guidance,"Journalism, publishing and communications","Energy, sustainability and the environment",Psychology and social work,Entrepreneurship and startups,None,Relationship common recent be approach baby small call involve seek as and pay nearly maintain without mean.,nan
