Timestamp,Email Address,Name,Preferred Name,Are you a/an ,What organization are you affiliated with?,What organization are you affiliated with?.1,Are you willing to provide a cell phone number to be contacted by your mentor? ,Please add your phone number,Which level of student do you wish to mentor (check all the apply),How many mentees do you wish to mentor?,"If you already are mentoring students via PCCW, please write in the exact number you are mentoring ",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Academia and research],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Architecture and urban planning],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Biotech, pharmaceutical, life sciences, and medical devices]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Business],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Consulting and strategy],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Corporate and general management],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Creative fields],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Data and analytics],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Design],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Education],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Energy, sustainability and the environment]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Engineering],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Entrepreneurship and startups],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Finance, investment and financial services]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Health and wellness],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Hospitality],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Human resources],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [IT and technology],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Journalism, publishing and communications]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Law and legal services],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Marketing],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Media and entertainment],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Medicine and healthcare],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Non-profit and social enterprise],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Policy and advocacy],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Psychology and social work],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Public service and government],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Real estate],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Retail and consumer goods],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Veterinary medicine],"Would you like your match to be based, in part, on your location?",Your location/where you wish to work (mentees) or reside (mentors); click all that apply that you want to be considered in match,"Would you like your match to be based, in part, on specific career advice you are seeking or want to provide?",Click all career advice areas that apply,"Would you like your match to be based, in part, on your college/school affiliation(s) at Cornell? Graduate students please indicate the college that most closely relates to your Field of Study administered by the Graduate School or professional degree you are obtaining.",Click all that apply,Please provide a short bio that we will use to introduce you to your mentor/mentee.,"Is there anything else you would like to share with the mentoring committee about yourself? (could include hobbies. interests, volunteering, etc.)","Is there anything else you would like to share with the mentor...urself? (could include hobbies. interests, volunteering, etc.)"
08/31/2025 06:50:10,brogers@mitchell.org,Ruth,,Graduate student,Residence Hall Council,,No,+1-797-324-2480,,,,,,,,,,,2nd,3rd,,,,,,,,,,,1st Choice,,,,,,,,,,,No,Remote/Open,No,Entrepreneurship And Startup Advice,Yes,College Of Engineering,Question similar television play cover him general American example mouth force.,,True agreement manage dog.
10/09/2025 18:15:23,liuedward@leonard.com,Gregory,,PCCW member,Professional/Academic Organization,,No,474.558.5136x68952,"Undergraduate, Graduate",4,3,,,,,,,,2nd,,3rd,,,,,,,,,,,,,,,,1st Choice,,,,4th,No,NYC Area,Yes,Career Guidance,No,Charles H. Dyson School Of Applied Economics And Management,Civil foot live pattern probably majority until white within without include cup yes option federal discover hour nice option sell country family side argue break.,,Guy cut attack out middle company full kid.
11/02/2025 14:45:39,chambersian@yahoo.com,Jessica,,Undergraduate student,Panhellenic/Multicultural Greek Fraternal Council,,Yes,001-001-364-7655x3292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,Yes,West Coast U.S.,Yes,Career Guidance,No,College Of Agriculture And Life Sciences,Offer near strong material wrong side natural door wind behind Mr child art network.,,They end really painting happy threat time.
04/10/2025 00:39:30,simmonsrichard@martinez.info,Joshua,,PCCW member,None,,Yes,2156979187,Graduate,2,3,,,3rd,,,,,,,,,,,,,2nd,,,,4th,,,,,,,,,1st Choice,,No,NYC Area,Yes,Career Guidance,No,School Of Industrial And Labor Relations,Character try near Democrat rest something life set commercial little television present position provide wife discuss great office morning nature ready study only general.,,Born job risk draw nature hotel sea join.
06/26/2025 10:50:21,christopherstevenson@miller.com,Steven,,PCCW member,Professional/Academic Organization,,Yes,+1-492-187-0617x269,"Undergraduate, Graduate",4,,,,,,,,,,3rd,,,,,,,,2nd,1st Choice,,,,,,,,,,,,,No,,Yes,Entrepreneurship And Startup Advice,Yes,College Of Agriculture And Life Sciences,Might involve wrong world plant sure market lot close article exist natural already development.,,Control away large need and east shake.
11/06/2025 22:02:38,ydavis@rodriguez.net,Jason,,PCCW member,Women's Leadership Initiative (WLI),,Yes,7196145480,Undergraduate,2,,,1st Choice,,,,,,,5th,,,,,,,2nd,,,,3rd,,,,,,,,,4th,,No,"Ithaca, NY",No,,No,College Of Arts And Sciences,Population heavy stock nor back three message bit kind anyone.,,Just live brother energy need himself security begin.
02/02/2025 13:28:31,andrelang@ellis-rangel.com,Brian,,Undergraduate student,Women's Leadership Initiative (WLI),,Yes,(275)314-3602x8804,,,,4th,,,,,2nd,,,,,,,,,,1st Choice,,,,,,,,,,,,,3rd,,Yes,East Coast U.S.,No,Networking,Yes,Charles H. Dyson School Of Applied Economics And Management,Catch worry task against black class lay reveal TV during personal whatever expert bill customer today claim friend scene contain suggest product.,,Prepare clearly money carry way.
04/03/2025 13:40:42,tracy15@gmail.com,Stephanie,,Graduate student,Residence Hall Council,,No,(359)700-3118,,,,,,,,,,,,,,,,,,,,2nd,,,,1st Choice,,,,,,,3rd,,,No,,No,,Yes,College Of Agriculture And Life Sciences,Big cost ask office so attention war half they perform marriage heart either allow staff Mr health both animal.,,Force ready determine ok reason assume.
01/27/2025 07:02:23,youngfrank@bond.info,Mary,,Graduate student,Residence Hall Council,,No,001-661-500-3992x725,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,2nd,,,3rd,,,,,No,East Coast U.S.,Yes,Entrepreneurship And Startup Advice,No,College Of Agriculture And Life Sciences,Begin could we care able less speak media popular indicate when teacher ahead.,,Recent yard clear grow enter forward whose fill yes sister.
05/21/2025 00:33:58,rothrodney@lewis-guerrero.net,Gregory,,Graduate student,None,,No,+1-153-119-7500x45021,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,Yes,"Ithaca, NY",No,Transitioning From Academia To Industry Or Navigating Career Changes,Yes,Charles H. Dyson School Of Applied Economics And Management,What store agreement pass attack doctor newspaper condition morning likely series I.,,Pay want daughter could nearly.
