Full Name,Email Address,Are you a/an ,What organization are you affiliated with?,What organization are you affiliated with?.1,Which level of student do you wish to mentor (check all the apply),How many mentees do you wish to mentor?,"If you already are mentoring students via PCCW, please write in the exact number you are mentoring ",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Academia and research],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Architecture and urban planning],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Biotech, pharmaceutical, life sciences, and medical devices]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Business],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Consulting and strategy],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Corporate and general management],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Creative fields],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Data and analytics],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Design],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Education],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Energy, sustainability and the environment]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Engineering],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Entrepreneurship and startups],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Finance, investment and financial services]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Health and wellness],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Hospitality],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Human resources],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [IT and technology],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Journalism, publishing and communications]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Law and legal services],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Marketing],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Media and entertainment],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Medicine and healthcare],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Non-profit and social enterprise],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Policy and advocacy],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Psychology and social work],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Public service and government],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Real estate],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Retail and consumer goods],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Veterinary medicine],"Would you like your match to be based, in part, on your location?",Your location/where you wish to work (mentees) or reside (mentors); click all that apply that you want to be considered in match,"Would you like your match to be based, in part, on specific career advice you are seeking or want to provide?",Click all career advice areas that apply,"Would you like your match to be based, in part, on your college/school affiliation(s) at Cornell? Graduate students please indicate the college that most closely relates to your Field of Study administered by the Graduate School or professional degree you are obtaining.",Click all that apply,Unnamed: 43,Unnamed: 44
Pamela Wilson,pwilson@cornell.edu,Undergraduate student,Other,,,,,,,,,,,,,,,,,,,,,,,,,2nd,3rd,,,,,,,1st Choice,,Yes,NYC area,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Entrepreneurship and Startup Advice, Networking",Yes,College of Human Ecology,"While studying Fashion Management, I’m passionate about the intersection of fashion, business, and leadership. Through digital storytelling, ive always embraced creativity and initiative to amplify my presence and influence through media.",
Timothy Rivera,timothyr@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",2.0,,,,,,,3rd,,,,,,,2nd,,,1st Choice,,,,,,,,,,,,,,,Yes,"East Coast U.S., NYC area",No,,Yes,Nolan School of Hotel Administration,,
Amelia King,aking@cornell.edu,Graduate student,,Other,,,,,,,,3rd,2nd,,,,,,5th,4th,,,,,1st Choice,,,,,,,,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), International student guidance, Networking",Yes,"Cornell Ann S. Bowers College of Computing and Information Science, College of Engineering, Johnson Graduate School of Management","I am pursuing a Master's of Engineering degree in Computer Science. I completed my undergraduate degree in Computer Science in 2021 and worked for Anheuser Busch InBev for about 5 years, my last role being an Associate Product Manager in the Tech Team. ",
Angela Rogers,angela_rogers@cornell.edu,Undergraduate student,First Gen,,,,,3rd,,,,,,,,2nd,,,1st Choice,,,,,,,,,,,,,,,,,,,Yes,"East Coast U.S., NYC area",Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Transitioning from academia to industry or navigating career changes, First Generation student guidance, Networking",Yes,College of Engineering,"I am a first-generation college student, seeking a career in Civil Engineering, hoping to seek a career in creating sustainable infrastructure. I am also interested in possibly pursuing a MEng in Environmental Engineering. ",
Stephanie Robinson,stephanier@cornell.edu,Undergraduate student,Other,,,,,1st Choice,,,,,,,,,5th,,,,,,,,,4th,,,,,2nd,3rd,,,,,,Yes,"East Coast U.S., West Coast U.S., NYC area, Western Europe, UK, Midwest U.S.",Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Public Service and Non-Profit Careers, Networking",Yes,College of Arts and Sciences,"Hi! My name is Annie, and I am a sophomore in the College of Arts & Sciences, studying History and German Studies. I am from Milwaukee, Wisconsin. I am interested in entering academia or non-profit work after graduation, and would love to hear about career paths and your experience post-undergrad!",
James Chavez,jamesc@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",1.0,1,,,,,2nd,,,,,,,3rd,,,,,1st Choice,,,,,,,,,,,,,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Transitioning from academia to industry or navigating career changes, First Generation student guidance, Networking",No,,"Graduation Year, College, Major: 2006, College of Engineering, Chemical Engineering
Geography: Philadelphia
Industry: Food and Beverage (Campbell’s), Human Resources
Other Expertise: Process Engineer (Oil & Gas), Management Consulting (McKinsey & Company) and finally, HR (Campbell’s)",
Joan Howard,j.howard95@cornell.edu,Undergraduate student,Panhellenic/Multicultural Greek Fraternal Council,,,,,,,,,,,,,,,,,,,,,,,,2nd,,,,,3rd,,1st Choice,,,,No,,No,,No,,"I am a public health student interested in working in health care policy (particularly public health insurance), and I eventually would like to pursue a career in health care law. Specifically, I eventually hope to work for the Department of Labor or HHS on their legal team (e.g. OGC). ",
George Nguyen,gnguyen@cornell.edu,Graduate student,,Graduate and Professional Students Assembly. (GPSA),,,,1st Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), International student guidance, Networking",Yes,"College of Arts and Sciences, Literature, archaeology, religion, culture","I am a second-year PhD student at the History of Art and Visual Studies, and my major is Classical Archaeology. I am an international student and I appreciate your advice!",
Justin Morris,jmorris@cornell.edu,Undergraduate student,First Gen,,,,,,,,,,3rd,,,,,4th,,,,,,,,5th,1st Choice,,,,,2nd,,,,,,Yes,NYC area,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, First Generation student guidance, Networking",Yes,"Cornell Jeb E. Brooks School of Public Policy, Cornell Law School",I am a current undergraduate first-year majoring in Public Policy. I hope to apply to a top law school right out of college.,
Dorothy Thompson,dorothythompson34@cornell.edu,Undergraduate student,First Gen,,,,,2nd,,,,,,,,,,,,,,3rd,,,,,,,,1st Choice,,,4th,,,,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, First Generation student guidance",Yes,College of Agriculture and Life Sciences,"Hi, I’m Nevaeh! I’m a junior biological sciences student studying biochemistry on the pre-med track and love to learn about medicine. I like to chat about anything, stay productive, and try new things.",
