Full Name,Email Address,Are you a/an,What is your level of student?,Your location/where you wish to be based,"Would you like your match to be based, in part, on your location?",Click all that apply (College/School),"Would you like your match to be based, in part, on your college?",What career advice areas would you like to focus on?,What organization are you affiliated with?,Are you willing to provide your cell phone number?,Please add your phone number (optional),Please provide a short 1-2 sentences that we will use to introduce you to your mentor/mentee. (300 character limit),Is there anything else you would like to share?,Which level of student do you wish to mentor?,How many mentees are you able to take on?,"Please rank your field of interest/expertise [Academia and research] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Architecture and urban planning] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Biotech, pharmaceutical, life sciences, and medical devices] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Business] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Consulting and strategy] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Corporate and general management] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Creative fields] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Data and analytics] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Design] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Education] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Energy, sustainability and the environment] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Engineering] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Entrepreneurship and startups] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Finance, investment and financial services] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Health and wellness] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Hospitality] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Human resources] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [IT and technology] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Journalism, publishing and communications] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Law and legal services] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Marketing] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Media and entertainment] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Medicine and healthcare] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Non-profit and social enterprise] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Policy and advocacy] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Psychology and social work] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Public service and government] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Real estate] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Retail and consumer goods] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Veterinary medicine] (1 = highest priority, 5 = lowest)"
Lillian Jimenez,lillianjimenez14@gmail.com,PCCW Mentor (Cornell Alum),,South Asia,No,Cornell University,Yes,"Navigating The Workforce, Work-Life Balance",GenEq - Gender Equity Resource Center,Yes,212-447-6284,"Cornell alum working in Finance, investment and financial services. Happy to share insights about careers in innovation.",I am a first-gen student and would appreciate any guidance.,Graduate,1.0,,,,,,,,,,,,4,5 - Lowest Priority,1 - Highest Priority,3,,,,2,,,,,,,,,,,
Ruby Diaz,rubydiaz80@gmail.com,PCCW Mentor (Cornell Alum),,South Asia,Yes,Johnson Graduate School Of Management,Yes,"Navigating The Workforce, Public Service And Non-Profit Careers, Work-Life Balance",Graduate and Professional Students Assembly (GPSA),No,,"Proud Cornell grad. Now working in Psychology and social work, specializing in financial inclusion.",I am a first-gen student and would appreciate any guidance.,Both,3.0,,,,2,,,,,,3,,,,,,,5 - Lowest Priority,,4,,,,,,,1 - Highest Priority,,,,
Hailey Do,haileydo75@yahoo.com,PCCW Mentor (Cornell Alum),,East Coast U.S.,No,College Of Arts And Sciences,No,"Public Service And Non-Profit Careers, Work-Life Balance",Women's Leadership Initiative (WLI),Yes,212-323-3635,Cornell alum working in IT and technology. Happy to share insights about careers in social impact.,,Graduate,2.0,,,4,2,,3,,,,,,,,,5 - Lowest Priority,,,1 - Highest Priority,,,,,,,,,,,,
Alexa Nelson,alexanelson67@yahoo.com,PCCW Mentor (Cornell Alum),,NYC Area,Yes,College Of Arts And Sciences,No,Career Guidance,First Gen,No,,I've spent 10+ years in Health and wellness and love mentoring the next generation in community building.,,Graduate,2.0,,,,,,,,,,,,,,2,1 - Highest Priority,,,,,,,,,,3,,,,,
Lillian Torres,lilliantorres17@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,NYC Area,Yes,Cornell Ann S. Bowers College Of Computing And Information Science,No,Career Guidance,Cornell Tech,No,,Currently pursuing a degree in Engineering. Excited to connect with professionals in healthcare access.,,,,,,,,,,,,,,,1 - Highest Priority,,,,,2,,,,,,3,,,,,,,
Ellie Jackson,elliejackson13@cornell.edu,Undergraduate,Undergraduate,East Coast U.S.,Yes,College Of Agriculture And Life Sciences,No,"Work-Life Balance, Career Guidance, Public Service And Non-Profit Careers",Women's Leadership Initiative (WLI),Yes,607-996-8936,I'm a sophomore studying Business at Cornell. I'm passionate about making an impact in innovation.,,,,,3,,1 - Highest Priority,,,,,,,,,2,,,,,,,4,,,,,5 - Lowest Priority,,,,,
Aria Mitchell,ariamitchell49@icloud.com,PCCW Mentor (Cornell Alum),,NYC Area,No,Cornell Tech (NYC),No,Navigating The Workforce,First Gen,No,,Experienced professional in IT and technology with 15 years in policy reform. Excited to give back.,,Undergraduate,2.0,,,2,3,,,,,,,,,,,,,,1 - Highest Priority,,,,,,,,,,,,
Autumn Mitchell,autumnmitchell74@yahoo.com,PCCW Mentor (Cornell Alum),,East Coast U.S.,No,Other,Yes,"International Student Guidance, Work-Life Balance, Networking",Graduate and Professional Students Assembly (GPSA),No,,Cornell alum working in Engineering. Happy to share insights about careers in policy reform.,Happy to meet once a month or more.,Both,3.0,,,,5 - Lowest Priority,,,,,,,,1 - Highest Priority,,3,,,,,,2,,,,,,,,,,4
Lily Taylor,lilytaylor80@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,UK,Yes,Cornell Law School,No,Career Guidance,Other,Yes,607-727-6480,"Aspiring Biotech, pharmaceutical, life sciences, and medical devices professional with interests in financial inclusion and making a difference.",Happy to meet once a month or more.,,,,,1 - Highest Priority,2,,,,,,,,,,,,,,4,,5 - Lowest Priority,3,,,,,,,,,
Amelia Hernandez,ameliahernandez63@icloud.com,PCCW Mentor (Cornell Alum),,East Asia,Yes,Cornell Tech (NYC),Yes,"Work-Life Balance, Networking, First Generation Student Guidance",GenEq - Gender Equity Resource Center,No,,"Proud Cornell grad. Now working in Health and wellness, specializing in policy reform.",,Both,1.0,5 - Lowest Priority,,,,,,,,,,,,4,,1 - Highest Priority,,,,3,,,,,2,,,,,,
Anna Nguyen,annanguyen19@gmail.com,PCCW Mentor (Cornell Alum),,East Coast U.S.,Yes,Cornell University,Yes,"Career Guidance, Navigating The Workforce",GenEq - Gender Equity Resource Center,No,,Cornell alum working in Consulting and strategy. Happy to share insights about careers in social impact.,,Undergraduate,2.0,,,,,1 - Highest Priority,,,,,,,,,,,,,2,5 - Lowest Priority,4,3,,,,,,,,,
Allison Singh,allisonsingh21@gmail.com,PCCW Mentor (Cornell Alum),,West Coast U.S.,No,Cornell Law School,No,"Work-Life Balance, Transitioning From Academia To Industry Or Navigating Career Changes, Navigating The Workforce",Other,No,,Senior Law and legal services professional with extensive experience in sustainability.,Prefer virtual meetings.,Graduate,1.0,,,,2,,,,,,,,,4,,,,,,,1 - Highest Priority,,,3,,,,,,,
Adalynn Wright,adalynnwright68@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,East Coast U.S.,Yes,Graduate School Field Of Study,No,"Entrepreneurship And Startup Advice, Navigating The Workforce",Cornell Tech,Yes,607-970-5929,"Passionate about Biotech, pharmaceutical, life sciences, and medical devices with a growing interest in healthcare access. Looking forward to mentorship.",,,,,,1 - Highest Priority,,,2,,,,,,,,3,,,,,,,,,,,,,,,,
Gabriella Harris,gabriellaharris60@yahoo.com,PCCW Mentor (Cornell Alum),,NYC Area,Yes,College Of Engineering,Yes,"Transitioning From Academia To Industry Or Navigating Career Changes, Entrepreneurship And Startup Advice",Women's Leadership Initiative (WLI),No,,"Proud Cornell grad. Now working in Engineering, specializing in innovation.",Available on weekday evenings only.,Graduate,1.0,,,,,,,,,,,,1 - Highest Priority,,,3,,,,,,,,2,,,,,,,
Nevaeh Gupta,nevaehgupta22@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,East Coast U.S.,Yes,Johnson Graduate School Of Management,Yes,"Career Guidance, Transitioning From Academia To Industry Or Navigating Career Changes",Other,Yes,607-360-2457,"I love Finance, investment and financial services and hope to work in sustainability after graduation. Always eager to learn!",,,,,,3,,,,,,,,,,,1 - Highest Priority,,,,,2,,,,,,,,,,,
Naomi Morales,naomimorales34@gmail.com,PCCW Mentor (Cornell Alum),,NYC Area,No,Weill Cornell Medicine (NYC),No,"First Generation Student Guidance, Career Guidance, Navigating The Workforce",Women's Leadership Initiative (WLI),Yes,212-627-7616,Senior Psychology and social work professional with extensive experience in tech for good.,Prefer virtual meetings.,Both,1.0,,,,5 - Lowest Priority,,,,,,,,,,,,,,,2,,,,3,,4,1 - Highest Priority,,,,
Chloe Ortiz,chloeortiz05@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,East Coast U.S.,No,College Of Engineering,Yes,First Generation Student Guidance,First Gen,Yes,607-502-9488,I'm a junior studying Engineering at Cornell. I'm passionate about making an impact in diversity and inclusion.,,,,,,,,2,4,,,,,,1 - Highest Priority,,3,,,,,,,,,,,,,,,,
