Timestamp,Email Address,Name,Preferred Name,Are you a/an ,What organization are you affiliated with?,What organization are you affiliated with?.1,Are you willing to provide a cell phone number to be contacted by your mentor? ,Please add your phone number,Which level of student do you wish to mentor (check all the apply),How many mentees do you wish to mentor?,"If you already are mentoring students via PCCW, please write in the exact number you are mentoring ",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Academia and research],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Architecture and urban planning],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Biotech, pharmaceutical, life sciences, and medical devices]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Business],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Consulting and strategy],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Corporate and general management],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Creative fields],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Data and analytics],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Design],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Education],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Energy, sustainability and the environment]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Engineering],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Entrepreneurship and startups],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Finance, investment and financial services]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Health and wellness],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Hospitality],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Human resources],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [IT and technology],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Journalism, publishing and communications]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Law and legal services],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Marketing],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Media and entertainment],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Medicine and healthcare],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Non-profit and social enterprise],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Policy and advocacy],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Psychology and social work],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Public service and government],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Real estate],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Retail and consumer goods],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Veterinary medicine],"Would you like your match to be based, in part, on your location?",Your location/where you wish to work (mentees) or reside (mentors); click all that apply that you want to be considered in match,"Would you like your match to be based, in part, on specific career advice you are seeking or want to provide?",Click all career advice areas that apply,"Would you like your match to be based, in part, on your college/school affiliation(s) at Cornell? Graduate students please indicate the college that most closely relates to your Field of Study administered by the Graduate School or professional degree you are obtaining.",Click all that apply,Please provide a short bio that we will use to introduce you to your mentor/mentee.,"Is there anything else you would like to share with the mentoring committee about yourself? (could include hobbies. interests, volunteering, etc.)","Is there anything else you would like to share with the mentor...urself? (could include hobbies. interests, volunteering, etc.)"
04/27/2025 19:28:14,danielle.johnson1@gmail.com,Danielle Johnson,,Undergraduate student,Women's Leadership Initiative (WLI),,Yes,533-521-8196x001,,,,,3rd,,2nd,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,No,,No,,Yes,Cornell Tech (NYC),My background is in learning about it and technology and I value thoughtful mentoring relationships.,In my free time I enjoy baking.,In my free time I enjoy baking.
07/25/2025 20:32:11,william.johnson2@gmail.com,William Johnson,Will,Graduate student,,Other,Yes,886.737.9402,,,,1st Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,South Asia,Yes,Entrepreneurship And Startup Advice,Yes,College Of Engineering,I am currently deepening experience in academia and research and I enjoy helping others think through next steps.,In my free time I enjoy campus community building.,In my free time I enjoy campus community building.
09/15/2025 02:36:50,joshua.lewis3@cornell.edu,Joshua Lewis,,PCCW member,,,Yes,001-851-316-1559x40781,Undergraduate,1.0,0.0,2nd,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,No,,Yes,"Entrepreneurship And Startup Advice, Navigating The Workforce",Yes,Cornell SC Johnson College Of Business,"I have been mentoring around finance, investment and financial services and I enjoy helping others think through next steps.",In my free time I enjoy cooking for friends.,In my free time I enjoy cooking for friends.
01/16/2025 05:53:41,andrea.calderon4@cornell.edu,Andrea Calderon,,Graduate student,,Other,Yes,+1-659-931-0341x316,,,,,1st Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Western Europe, West Coast U.S.",Yes,Networking,No,,I am currently researching architecture and urban planning and would love to connect around career paths and community.,In my free time I enjoy running and hiking.,In my free time I enjoy running and hiking.
09/08/2025 17:46:52,cynthia.diaz5@cornell.edu,Cynthia Diaz,,Graduate student,,Cornell Tech,Yes,(653)541-9283x276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,Yes,East Coast U.S.,Yes,Career Guidance,Yes,Cornell Law School,I’m researching real estate and I value thoughtful mentoring relationships.,In my free time I enjoy volunteering with local nonprofits.,In my free time I enjoy volunteering with local nonprofits.
04/05/2025 07:34:34,gabrielle.cameron6@gmail.com,Gabrielle Cameron,,PCCW member,,,Yes,001-903-405-6413x95376,Undergraduate,1.0,0.0,,,2nd,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,,,Yes,NYC Area,No,,Yes,Cornell Tech (NYC),I have been mentoring around engineering and I value thoughtful mentoring relationships.,In my free time I enjoy dance and fitness classes.,In my free time I enjoy dance and fitness classes.
04/25/2025 14:13:02,joseph.wright7@cornell.edu,Joseph Wright,,Undergraduate student,Women's Leadership Initiative (WLI),,Yes,+1-484-996-9653,,,,,,,,,,,,,,,,,,3rd,,,2nd,,1st Choice,,,,,,,,,,,Yes,East Coast U.S.,Yes,"Career Guidance, Navigating The Workforce, Transitioning From Academia To Industry Or Navigating Career Changes",Yes,Cornell Ann S. Bowers College Of Computing And Information Science,I am currently learning about law and legal services and would love to connect around career paths and community.,In my free time I enjoy student leadership.,In my free time I enjoy student leadership.
06/23/2025 06:58:50,christopher.williams8@gmail.com,Christopher Williams,,PCCW member,,,Yes,922-669-1669,"Undergraduate, Graduate",3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,No,,Yes,"Networking, Career Guidance",Yes,College Of Arts And Sciences,I’m especially interested in working in psychology and social work and would love to connect around career paths and community.,In my free time I enjoy cooking for friends.,In my free time I enjoy cooking for friends.
10/24/2025 19:12:40,tasha.valencia9@cornell.edu,Tasha Valencia,,PCCW member,,,Yes,9182451462,"Undergraduate, Graduate",1.0,0.0,,,,1st Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,NYC Area,Yes,Entrepreneurship And Startup Advice,Yes,Cornell SC Johnson College Of Business,I am currently mentoring around business and I enjoy helping others think through next steps.,In my free time I enjoy student leadership.,In my free time I enjoy student leadership.
11/05/2025 01:02:48,stephanie.liu10@outlook.com,Stephanie Liu,,Graduate student,,Graduate and Professional Student Assembly (GPSA),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,Yes,West Coast U.S.,Yes,"Public Service And Non-Profit Careers, Navigating The Workforce",Yes,School Of Veterinary Medicine,I’m especially interested in transitioning within veterinary medicine and I’m excited to learn from different perspectives.,In my free time I enjoy reading memoirs and essays.,In my free time I enjoy reading memoirs and essays.
