Name,Role,Student_Level,Email,Phone_Number,Organization,Location,College,Career_Interests,Field_1,Field_2,Field_3,Field_4,Field_5,Bio,Additional_Notes
Danielle Johnson,Mentee,Undergraduate,danielle.johnson1@gmail.com,533-521-8196x001,Women's Leadership Initiative (WLI)|Nan,None,Cornell Tech (NYC),None,IT and technology,Business,Architecture and urban planning,None,None,My background is in learning about it and technology and I value thoughtful mentoring relationships.,In my free time I enjoy baking.
William Johnson,Mentee,Graduate,william.johnson2@gmail.com,886.737.9402,Nan|Other,South Asia,College Of Engineering,Entrepreneurship And Startup Advice,Academia and research,None,None,None,None,I am currently deepening experience in academia and research and I enjoy helping others think through next steps.,In my free time I enjoy campus community building.
Andrea Calderon,Mentee,Graduate,andrea.calderon4@cornell.edu,+1-659-931-0341x316,Nan|Other,Western Europe|West Coast U.S.,None,Networking,Architecture and urban planning,None,None,None,None,I am currently researching architecture and urban planning and would love to connect around career paths and community.,In my free time I enjoy running and hiking.
Cynthia Diaz,Mentee,Graduate,cynthia.diaz5@cornell.edu,(653)541-9283x276,Nan|Cornell Tech,East Coast U.S.,Cornell Law School,Career Guidance,Real estate,None,None,None,None,I’m researching real estate and I value thoughtful mentoring relationships.,In my free time I enjoy volunteering with local nonprofits.
Joseph Wright,Mentee,Undergraduate,joseph.wright7@cornell.edu,+1-484-996-9653,Women's Leadership Initiative (WLI)|Nan,East Coast U.S.,Cornell Ann S. Bowers College Of Computing And Information Science,Career Guidance|Navigating The Workforce|Transitioning From Academia To Industry Or Navigating Career Changes,Law and legal services,IT and technology,Health and wellness,None,None,I am currently learning about law and legal services and would love to connect around career paths and community.,In my free time I enjoy student leadership.
Stephanie Liu,Mentee,Graduate,stephanie.liu10@outlook.com,None,Nan|Graduate And Professional Student Assembly (Gpsa),West Coast U.S.,School Of Veterinary Medicine,Public Service And Non-Profit Careers|Navigating The Workforce,Veterinary medicine,None,None,None,None,I’m especially interested in transitioning within veterinary medicine and I’m excited to learn from different perspectives.,In my free time I enjoy reading memoirs and essays.
Jose Mason,Mentee,Undergraduate,jose.mason11@cornell.edu,(481)248-9325,Building Ourselves Through Sisterhood and Service (BOSS)|Nan,None,College Of Agriculture And Life Sciences,None,Law and legal services,Corporate and general management,None,None,None,I’m learning about law and legal services and I’m excited to learn from different perspectives.,In my free time I enjoy travel planning.
Carol Burns,Mentee,Graduate,carol.burns12@gmail.com,954-330-3911,Nan|Graduate And Professional Student Assembly (Gpsa),West Coast U.S.|NYC Area,None,None,Engineering,Data and analytics,None,None,None,I have been researching engineering and would love to connect around career paths and community.,In my free time I enjoy running and hiking.
Tiffany Patel,Mentee,Undergraduate,tiffany.patel13@outlook.com,None,Building Ourselves Through Sisterhood and Service (BOSS)|Nan,None,None,Transitioning From Academia To Industry Or Navigating Career Changes,IT and technology,Health and wellness,Marketing,None,None,My background is in exploring it and technology and would love to connect around career paths and community.,In my free time I enjoy campus community building.
David Keller,Mentee,Graduate,david.keller14@gmail.com,None,Nan|Cornell Tech,None,Graduate School Field Of Study,Entrepreneurship And Startup Advice,"Biotech, pharmaceutical, life sciences, and medical devices",None,None,None,None,"I’m especially interested in transitioning within biotech, pharmaceutical, life sciences, and medical devices and would love to connect around career paths and community.",In my free time I enjoy music and live performances.
Allison Obrien,Mentee,Graduate,allison.obrien16@outlook.com,383.546.5787,Nan|Cornell Tech,None,Weill Cornell Medicine (NYC),Work-Life Balance|Networking,IT and technology,None,None,None,None,My background is in researching it and technology and I value thoughtful mentoring relationships.,In my free time I enjoy reading memoirs and essays.
Jeffrey Morgan,Mentee,Graduate,jeffrey.morgan17@cornell.edu,None,Nan|Cornell Tech,East Coast U.S.,Weill Cornell Medicine (NYC),Navigating The Workforce,Engineering,Real estate,None,None,None,My background is in researching engineering and I enjoy helping others think through next steps.,In my free time I enjoy yoga and mindfulness.
Brianna Hall,Mentee,Undergraduate,brianna.hall18@gmail.com,501.603.1051,Women's Leadership Initiative (WLI)|Nan,None,None,None,IT and technology,None,None,None,None,I am currently exploring it and technology and I enjoy helping others think through next steps.,In my free time I enjoy peer mentorship.
Elizabeth Lewis,Mentee,Graduate,elizabeth.lewis19@cornell.edu,None,Nan|Graduate And Professional Student Assembly (Gpsa),None,None,Transitioning From Academia To Industry Or Navigating Career Changes,Law and legal services,None,None,None,None,My background is in researching law and legal services and I’m excited to learn from different perspectives.,In my free time I enjoy language learning.
David Walls,Mentee,Graduate,david.walls20@cornell.edu,001-897-737-6311,Nan|Graduate And Professional Student Assembly (Gpsa),South Asia,None,None,IT and technology,None,None,None,None,I’m transitioning within it and technology and would love to connect around career paths and community.,In my free time I enjoy photography.
Steven Baxter,Mentee,Graduate,steven.baxter23@outlook.com,478-810-8013,Nan|Cornell Tech,None,College Of Human Ecology,Career Guidance,Health and wellness,None,None,None,None,I have been researching health and wellness and would love to connect around career paths and community.,In my free time I enjoy cooking for friends.
Todd Lewis,Mentee,Undergraduate,todd.lewis24@gmail.com,(502)660-6474x6872,Other|Nan,U.K.|West Coast U.S.,None,Work-Life Balance,Design,None,None,None,None,My background is in learning about design and I’m excited to learn from different perspectives.,In my free time I enjoy cooking for friends.
Jeff Brown,Mentee,Graduate,jeff.brown25@cornell.edu,001-380-450-0978x8208,Nan|Other,None,None,Public Service And Non-Profit Careers|First Generation Student Guidance|Entrepreneurship And Startup Advice,Policy and advocacy,None,None,None,None,My background is in deepening experience in policy and advocacy and would love to connect around career paths and community.,In my free time I enjoy language learning.
Diane Cunningham,Mentee,Graduate,diane.cunningham27@cornell.edu,None,Nan|Cornell Tech,South Asia,Cornell Ann S. Bowers College Of Computing And Information Science,Entrepreneurship And Startup Advice,IT and technology,None,None,None,None,I am currently deepening experience in it and technology and would love to connect around career paths and community.,In my free time I enjoy student leadership.
Leslie Green,Mentee,Undergraduate,leslie.green28@gmail.com,+1-353-346-2475x10799,Other|Nan,None,College Of Engineering,Public Service And Non-Profit Careers,IT and technology,Medicine and healthcare,None,None,None,I’m especially interested in learning about it and technology and would love to connect around career paths and community.,In my free time I enjoy baking.
Casey Sanchez,Mentee,Graduate,casey.sanchez31@cornell.edu,None,Nan|Cornell Tech,South Asia,None,Transitioning From Academia To Industry Or Navigating Career Changes,"Biotech, pharmaceutical, life sciences, and medical devices",None,None,None,None,"I have been transitioning within biotech, pharmaceutical, life sciences, and medical devices and I’m excited to learn from different perspectives.",In my free time I enjoy baking.
Justin Kim,Mentee,Graduate,justin.kim32@outlook.com,+1-649-380-8412,Nan|Graduate And Professional Student Assembly (Gpsa),East Coast U.S.|NYC Area,Graduate School Field Of Study,Transitioning From Academia To Industry Or Navigating Career Changes,"Biotech, pharmaceutical, life sciences, and medical devices",None,None,None,None,"I’m transitioning within biotech, pharmaceutical, life sciences, and medical devices and I’m excited to learn from different perspectives.",In my free time I enjoy baking.
